"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.621817047E2,3.211454426E1,1.189503839E2,1.885445149E1,1.377232313E0,1.556481018E2,4.609076500E0,4.609076500E0
1.632035083E2,3.211453394E1,1.189503895E2,1.903474383E1,1.403609037E0,1.603801422E2,4.653019905E0,4.653019905E0
1.642019942E2,3.211452397E1,1.189503954E2,1.873209620E1,1.394179225E0,1.573289948E2,4.788415909E0,4.788415909E0
1.651881854E2,3.211451392E1,1.189504022E2,1.847904481E1,1.455661058E0,1.483101959E2,4.911478043E0,4.911478043E0
1.661989968E2,3.211450194E1,1.189504111E2,1.828718416E1,1.521357536E0,1.485800018E2,4.699999809E0,4.699999809E0
1.672036614E2,3.211449050E1,1.189504175E2,1.816382352E1,1.520015001E0,1.584328918E2,4.699999809E0,4.699999809E0
1.682047354E2,3.211448018E1,1.189504240E2,1.805964734E1,1.465840459E0,1.565278320E2,4.699999809E0,4.699999809E0
1.691906958E2,3.211446467E1,1.189504394E2,1.815959770E1,1.405660748E0,1.531592712E2,4.699999809E0,4.699999809E0
1.701913859E2,3.211444945E1,1.189504529E2,1.821442163E1,1.382480145E0,1.555080872E2,4.699999809E0,4.699999809E0
1.711942427E2,3.211443514E1,1.189504691E2,1.808967071E1,1.379459977E0,1.526426544E2,4.699999809E0,4.699999809E0
1.722057515E2,3.211442386E1,1.189504805E2,1.818176887E1,1.469149709E0,1.529352875E2,4.699999809E0,4.699999809E0
1.732051146E2,3.211441279E1,1.189504899E2,1.816449832E1,1.486087084E0,1.569453735E2,4.699999809E0,4.699999809E0
1.741964135E2,3.211439960E1,1.189505018E2,1.820630567E1,1.461475015E0,1.475377197E2,4.699999809E0,4.699999809E0
1.752058203E2,3.211438461E1,1.189505203E2,1.817309212E1,1.174657345E0,1.480448456E2,4.699999809E0,4.699999809E0
1.762042771E2,3.211436862E1,1.189505369E2,1.795850592E1,1.049982309E0,1.525997620E2,4.699999809E0,4.699999809E0
1.772087703E2,3.211435427E1,1.189505483E2,1.782550827E1,1.241279840E0,1.506926727E2,4.699999809E0,4.699999809E0
