"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.999078917E0,-1.794767761E0,-3.008743286E-1,1.003363495E1
8.019162917E0,-7.499404907E-1,-1.586700439E-1,1.167676804E1
8.039247917E0,-7.168592834E-1,-4.038601685E-1,1.192779602E1
8.059331917E0,-2.924917603E0,-1.614542542E0,1.193737610E1
8.079416917E0,-4.554578705E0,-3.249143372E0,1.262265106E1
8.099500917E0,-5.592071228E0,-3.795806580E0,1.481783615E1
8.119585917E0,-5.200036469E0,-3.242856445E0,1.550625458E1
8.139669917E0,-4.302353210E0,-3.152594147E0,1.319790482E1
8.159753917E0,-4.460873566E0,-4.404141541E0,1.322065750E1
8.179838917E0,-6.167474670E0,-5.513334961E0,1.544383438E1
8.199922833E0,-6.968908081E0,-5.828579407E0,1.433029999E1
