"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.706460000E0,3.862500000E1,2.800000000E1,-7.375000000E0
8.726461562E0,3.781250000E1,2.931250000E1,-5.875000000E0
8.756460000E0,3.668750000E1,3.056250000E1,-2.062500000E0
8.776460000E0,3.625000000E1,3.112500000E1,5.625000000E-1
8.796460000E0,3.587500000E1,3.175000000E1,2.687500000E0
8.816460000E0,3.543750000E1,3.175000000E1,4.500000000E0
8.836460000E0,3.518750000E1,3.193750000E1,6.312500000E0
8.856461562E0,3.468750000E1,3.200000000E1,8.750000000E0
8.886460000E0,3.350000000E1,3.262500000E1,1.056250000E1
8.906460000E0,3.287500000E1,3.293750000E1,1.093750000E1
8.926461562E0,3.275000000E1,3.331250000E1,1.087500000E1
8.956460000E0,3.306250000E1,3.337500000E1,9.750000000E0
8.976461562E0,3.337500000E1,3.312500000E1,8.875000000E0
8.996461562E0,3.356250000E1,3.306250000E1,7.562500000E0
9.026460000E0,3.418750000E1,3.262500000E1,4.562500000E0
9.046460000E0,3.431250000E1,3.212500000E1,1.937500000E0
9.066460000E0,3.468750000E1,3.200000000E1,-5.000000000E-1
9.086460000E0,3.443750000E1,3.206250000E1,-8.125000000E-1
9.106460000E0,3.400000000E1,3.262500000E1,-4.375000000E-1
9.126460000E0,3.362500000E1,3.318750000E1,-8.125000000E-1
9.146461562E0,3.281250000E1,3.375000000E1,-7.500000000E-1
9.176460000E0,3.200000000E1,3.412500000E1,-8.125000000E-1
9.196460000E0,3.175000000E1,3.425000000E1,-6.250000000E-2
9.216461562E0,3.118750000E1,3.456250000E1,1.187500000E0
9.246460000E0,3.012500000E1,3.518750000E1,1.000000000E0
9.266460000E0,2.943750000E1,3.556250000E1,-1.625000000E0
9.286460000E0,2.925000000E1,3.500000000E1,-4.812500000E0
9.306460000E0,2.862500000E1,3.468750000E1,-6.062500000E0
9.326460000E0,2.875000000E1,3.481250000E1,-5.625000000E0
9.346460000E0,2.993750000E1,3.418750000E1,-5.687500000E0
9.366461562E0,3.050000000E1,3.325000000E1,-8.250000000E0
9.396460000E0,3.168750000E1,3.237500000E1,-1.093750000E1
9.416460000E0,3.200000000E1,3.168750000E1,-1.156250000E1
9.436461562E0,3.193750000E1,3.093750000E1,-1.325000000E1
9.466461562E0,3.243750000E1,3.006250000E1,-1.562500000E1
9.496461562E0,3.325000000E1,2.881250000E1,-1.675000000E1
